id,ciudad,titulo,rating,precio
gyg_1,Malaga,Málaga: Paseo en Catamarán a Vela con Opción Puesta de Sol,4.4,13.0
gyg_2,Malaga,Málaga: crucero al atardecer o nocturno en catamarán con DJ en directo y bebida,4.6,22.0
gyg_3,Malaga,Nerja: Excursión Guiada en Kayak por los Acantilados de Maro-Cerro Gordo,4.5,33.0
gyg_4,Malaga,Málaga: Crucero en Catamarán a Vela con Baño y DJ Opcional,4.2,18.0
gyg_5,Malaga,Desde Málaga en autobús: tour guiado por el Caminito del Rey y bebida.,4.8,58.0
gyg_6,Malaga,Desde Málaga: Excursión de un día a Gibraltar,4.7,33.0
gyg_7,Malaga,Museo Picasso Málaga Ticket de entrada,4.4,13.0
gyg_8,Malaga,Málaga: Crucero panorámico en catamarán,4.5,14.0
gyg_9,Malaga,Alcazaba y Teatro Romano Visita Guiada Con Entrada,4.7,18.0
gyg_10,Malaga,Málaga: Paseo en Catamarán al Atardecer,4.6,30.0
gyg_11,Malaga,Málaga: Ronda y Setenil de las Bodegas y puesta de sol opcional,4.6,28.0
gyg_12,Malaga,Málaga: Espectáculo de flamenco en vivo en Flamenco Alegría,4.7,25.0
gyg_13,Malaga,Málaga: Hammam Al Ándalus Ticket de entrada con masaje,4.7,56.0
gyg_14,Malaga,Tour a Ronda y Setenil con tiempo libre desde Málaga,4.8,24.0
gyg_15,Malaga,Málaga: Teatro Flamenco Málaga Espectáculo Flamenco en Vivo,4.8,29.0
gyg_16,Malaga,"Desde Málaga: Excursión de un día a las Cuevas de Nerja, Nerja y Frigiliana",4.7,69.0
gyg_17,Malaga,Desde Málaga: Excursión de un día a Granada con la Alhambra,4.5,109.0
gyg_18,Malaga,Málaga: tour en autobús turístico con paradas libres,4.1,27.0
gyg_19,Malaga,Málaga: Espectáculo y Comida en Alegría Flamenco y Restaurante,4.6,54.0
gyg_20,Malaga,Desde Málaga: Excursión de un día al Caminito del Rey y tour guiado,4.8,59.0
gyg_21,Malaga,Benalmádena: navegación y avistamiento de delfines con aperitivos/bebidas,4.2,60.0
gyg_22,Malaga,Benahavís: Descenso de barrancos con guía en el río Guadalmina,4.9,38.0
gyg_23,Malaga,Desde Málaga: Excursión de un día a Gibraltar,4.1,32.0
gyg_24,Malaga,Málaga: Catamarán a Vela con Natación y Almuerzo de Paella,4.0,45.0
gyg_25,Malaga,Hammam Al Ándalus Málaga: Baño Relajante,4.6,50.0
gyg_26,Malaga,Desde Málaga: excursión de un día a Ronda y Setenil de las Bodegas,4.8,29.0
gyg_27,Malaga,Málaga: Museo del Automóvil y la Moda Ticket de entrada,4.8,12.0
gyg_28,Malaga,Desde Málaga y la Costa del Sol: tour de Gibraltar,4.4,33.0
gyg_29,Malaga,"Desde Málaga: Caminito del Rey, todo incluido.",4.8,52.0
gyg_30,Malaga,Málaga: Visita guiada al Museo Picasso con ticket de entrada sin colas,4.8,28.0
gyg_31,Malaga,Málaga: Visita a viñedos y bodegas con 6 vinos de primera y tapas,4.8,90.0
gyg_32,Malaga,Torremolinos: Espectáculo de caballos españoles y flamenco opción con cena,4.7,33.0
gyg_33,Malaga,Tour guiado por el Teatro Romano y la Alcazaba,4.6,24.0
gyg_34,Malaga,Málaga: Ticket de entrada al Museo del Videojuego OXO,4.8,15.0
gyg_35,Malaga,Málaga: auténtica cena con espectáculo flamenco en Vino Mio.,4.4,14.0
gyg_36,Malaga,Desde Málaga: Excursión de un día a Ronda y Setenil de las Bodegas,4.5,21.0
gyg_37,Malaga,Málaga: Ruta de Pubs y Discotecas,4.4,16.0
gyg_38,Malaga,Málaga: excursión de 2 horas en quad biplaza por Mijas,4.9,115.0
gyg_39,Malaga,Málaga: Tour en tuk tuk,4.8,28.0
gyg_40,Malaga,Desde Málaga y Costa del Sol: Tour guiado Caminito del Rey,4.7,59.0
gyg_41,Malaga,"Málaga: Tour en tuk tuk eléctrico cómodo, moderno, ecológico y solidario",4.1,25.0
gyg_42,Malaga,Málaga: Entrada Museo Casa Natal de Picasso,4.2,4.0
gyg_43,Malaga,Málaga: Taller de Cocina Española con Paella y Sangría,4.9,67.0
gyg_44,Malaga,Málaga: aventura de 1 hora en buggy todoterreno en Mijas,4.8,95.0
gyg_45,Malaga,Málaga: tour guiado por el estadio La Rosaleda y el museo,4.2,17.0
gyg_46,Malaga,Málaga: alquiler de barcos sin licencia para avistar delfines,4.8,35.0
gyg_47,Malaga,Málaga: Ruta de Vinos y Tapas,4.8,60.0
gyg_48,Malaga,Desde Málaga: Excursión de un día a Ronda y Setenil con guía,4.5,55.0
gyg_49,Malaga,Málaga: tour guiado en bicicleta vintage por los lugares más destacados de la ciudad,4.7,28.0
gyg_50,Malaga,Center Pompidou Málaga Ticket de entrada,4.4,9.0
gyg_51,Malaga,Málaga: Entrada Espectáculo Flamenco El Gallo Ronco,4.7,28.0
gyg_52,Malaga,Málaga: Auténtica Clase de Cocina de Paella con Sangría,4.9,56.0
gyg_53,Malaga,Tour a pie completo de 3 horas con entradas,4.6,42.0
gyg_54,Malaga,Málaga: Recorrido por la Plaza de Toros de la Malagueta y Exposición Inmersiva,4.7,14.0
gyg_55,Malaga,Málaga y Costa del Sol: Ronda y Setenil de las Bodegas,4.6,33.0
gyg_56,Malaga,Málaga: Excursión en Buggy todoterreno por Mijas,4.9,139.0
gyg_57,Malaga,Málaga: tour todoterreno de 1 hora en quad biplaza en Mijas,4.9,79.0
gyg_58,Malaga,Málaga: Entradas para la Catedral de Málaga con visita guiada sin hacer cola,4.9,23.0
gyg_59,Malaga,Desde Málaga: Excursión de un día a la Alhambra en autobús con entradas,4.4,125.0
gyg_60,Malaga,"Málaga en Bici - Casco Antiguo, Puerto Deportivo y Playa",4.7,33.0
gyg_61,Malaga,Desde Málaga: Excursión de un día a Córdoba y Mezquita-Catedral,4.5,35.0
gyg_62,Malaga,"Desde Málaga: tour de baño hammam, kessa y masaje relajante.",4.7,85.0
gyg_63,Malaga,Málaga: Tour privado de la ciudad en Eco Tuk Tuk,4.9,53.0
gyg_64,Malaga,Desde Torremolinos: Excursión de un día a Gibraltar,4.2,32.0
gyg_65,Malaga,Desde Málaga: visita guiada a la Alhambra con entradas,4.3,125.0
gyg_66,Malaga,Ruta a caballo por Paraje Natural Montes Málaga - 1 hora,4.6,50.0
gyg_67,Malaga,Desde Málaga: Excursión de un día a Gibraltar y Excursión en barco con delfines,4.2,62.0
gyg_68,Malaga,Excursión de 2 horas en Buggy por las montañas y colinas de Mijas,4.9,199.0
gyg_69,Malaga,Málaga: tour guiado en bicicleta eléctrica,4.7,34.0
gyg_70,Malaga,Desde Málaga: Senderismo guiado en El Torcal de Antequera,4.9,60.0
gyg_71,Malaga,Málaga – Valle del Guadalhorce: Tour a Caballo con Guía Local,4.0,50.0
gyg_72,Malaga,Málaga: Ruta de Vinos y Tapas con Catas y Bebidas,4.7,70.0
gyg_73,Malaga,Málaga: Paseo en Bicicleta por el Cerro del Castillo y el Pueblo de Pescadores,4.8,43.0
gyg_74,Malaga,"Barranquismo salvaje en la Sierra de las Nieves, Málaga",4.9,75.0
gyg_75,Malaga,Málaga: tour en Segway Monumental de 2 horas,4.9,55.0
gyg_76,Malaga,Málaga: El Taller de Tapas Definitivo con Visita al Mercado,4.9,75.0
gyg_77,Malaga,Málaga: Clase de Cocina de Paella y Sangría con Visita al Mercado,4.9,80.0
gyg_78,Malaga,Tour de la ciudad de Málaga: Tour en Segway Panorámico de 1 Hora,4.9,35.0
gyg_79,Malaga,Málaga: Alquiler de bicicletas eléctricas,4.4,30.0
gyg_80,Malaga,Málaga: Sesión de fotos profesional y tour de la ciudad,4.9,85.0
